Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2000,0.054110536,0.01708183,0.140232623,0.038791388,-0.327479154,0.256379347,0.029576989,0.016825332,0.24193826,0.0881525,-0.221095847,0.06803746,0.059418481,0.356536219,0.187592752,0.110809868,0.059941729,-0.074367298,0.002435238,-0.256329762,0.185631156,0.082542308,-0.00830991,-0.067633836,0.15780412,0.096630635,0.050786269,0.354505736,0.524242586,-0.148301952,-0.266126882,-0.651738437,0.156717279,0.140693492,-0.093602774,-0.137738014,-0.06254092,0.24514525,0.049294832,-0.021717159,0.301822513,0.400465934,0.046800087,0.032480869,0.039261538,0.251829069,-0.036413677,-0.022837817,-0.087040922,0.036108912
2001,0.032493706,0.073382677,0.119093384,0.033424479,-0.351036211,0.240163365,0.025450419,0.062077198,0.271976751,0.087731557,-0.211063863,0.076475642,0.027360232,0.344681056,0.166733783,0.091705229,0.02336072,-0.083917166,-0.021271509,-0.248,0.108939617,0.064043973,-0.003755112,-0.061083899,0.146899122,0.108772657,0.002139546,0.356305408,0.489262399,-0.154463549,-0.234949277,-0.658147445,0.128860297,0.140261428,-0.122184313,-0.090824788,-0.063769816,0.242454618,0.048994505,-0.010819206,0.282157977,0.374131807,0.030069527,0.040758606,0.014144114,0.246622554,-0.086675372,0.015941025,-0.073490022,-0.037260509
2002,0.022205733,-0.000999835,0.109384543,0.050786694,-0.371010146,0.23187547,-0.029719197,0.03060618,0.279755668,0.054030339,-0.243579748,0.061228181,-0.029804587,0.320745536,0.162797202,0.020826105,-0.011599396,-0.122615803,-0.054115732,-0.269,0.087929649,0.027272502,-0.004617916,-0.094856654,0.138049613,0.108032359,-0.066883937,0.341087279,0.460251489,-0.190389899,-0.301919383,-0.716356927,0.106130511,0.118405791,-0.148908925,-0.097291594,-0.106504007,0.203806756,0.004721622,-0.048017342,0.287462687,0.319648823,0.008482939,0.031903163,-0.028372642,0.216836075,-0.120855414,-0.008524065,-0.095017201,-0.015857865
2003,-0.017318095,-0.015895608,0.112801669,0.07346121,-0.393742105,0.281833702,-0.041359653,0.025323435,0.250209979,0.03765108,-0.257150025,0.059852871,-0.085479237,0.298024161,0.157070609,-0.041069994,-0.028845996,-0.18333683,-0.055930992,-0.238,0.085104688,0.004702945,0.073875753,-0.126074557,0.20311039,0.063975362,-0.060658809,0.330986131,0.427844843,-0.229045433,-0.277698307,-0.745104774,0.094275286,0.114050225,-0.114444747,-0.06625101,-0.13094246,0.187776986,-0.006898444,-0.085584597,0.314317223,0.315428047,-0.025456025,0.021345735,-0.077909766,0.205524631,-0.114097141,-0.039447903,-0.134129684,0.02637347
2004,0.024471373,-0.084102925,0.148059324,-0.003818109,-0.396959825,0.27858382,-0.059490552,-0.009912643,0.127,0.030403912,-0.324814406,0.084672231,-0.141268573,0.179855223,0.166882617,-0.02017882,-0.042848177,-0.20666367,-0.064622428,-0.229,0.103021843,-0.007706879,0.052957173,-0.095380113,0.186087923,0.062650329,-0.054759293,0.32387845,0.449205977,-0.29647101,-0.273628367,-0.799665524,0.108301045,0.04157756,-0.141599609,-0.023125753,-0.140429683,0.153590343,-0.03889479,-0.04552719,0.310851123,0.301777168,0.012067457,0.005200855,-0.177861413,0.200706363,-0.102484566,-0.111022239,-0.124740802,-0.010207136
2005,0.012202641,-0.155659444,0.183599535,-0.026047724,-0.422974482,0.291378747,-0.044125453,-0.089869884,0.289,0.009124606,-0.372485511,0.100303299,-0.147158486,0.179897704,0.148073147,-0.011110999,-0.106354463,-0.186748761,-0.100853703,-0.249,0.105394947,-0.01713053,0.024121394,-0.078210864,0.227499564,0.081484682,-0.056202791,0.350285008,0.452149328,-0.332934484,-0.290210472,-0.79,0.101749264,0.067381074,-0.113000777,-0.007509679,-0.126547197,0.142674864,-0.050170054,-0.037248538,0.304818737,0.25761155,0.05008161,0.018560767,-0.211799961,0.193032877,-0.153852748,-0.178225193,-0.103674914,0.017073866
2006,0.01899403,-0.119282453,0.109317183,-0.025860525,-0.437967465,0.292752802,-0.013717061,-0.061737968,0.291,0.033418667,-0.3798775,0.134195864,-0.126566507,0.199776183,0.156903919,0.082809661,-0.089548912,-0.185485928,-0.046858896,-0.221,0.089505531,0.002469686,0.044320382,-0.077806246,0.244813076,0.078422904,-0.014227351,0.303595773,0.470928741,-0.344834124,-0.238787116,-0.76,0.078138233,0.055497675,-0.10308871,0.024215331,-0.051109146,0.143480001,-0.01791105,-0.042807241,0.314076987,0.263016597,0.066145673,0.061188594,-0.214955503,0.189207045,-0.158117785,-0.159825962,-0.094144483,0.017186565
2007,-0.010925768,-0.210983992,0.118214508,-0.019691824,-0.510900938,0.260908095,-0.08101751,-0.10923724,0.208,0.058316473,-0.37555509,0.11581179,-0.11577656,0.205435499,0.171617784,0.086332027,-0.096728574,-0.049123255,-0.090525548,-0.25678242,-0.003928309,-0.005788269,0.024314714,-0.107207367,0.250267485,0.095748568,0.034974499,0.253561319,0.389881186,-0.394479118,-0.168627916,-0.795,0.073741708,0.129867661,-0.100316357,0.037040428,-0.047362617,0.156420826,-0.089384779,0.003306397,0.39485659,0.313919446,0.069980818,0.090465358,-0.180057784,0.188785949,-0.140678624,-0.190203489,-0.109570051,-0.143396114
2008,-0.000619019,-0.026591377,0.130086629,0.020661046,-0.472877779,0.255457664,-0.025594666,-0.096933932,0.212,0.148593375,-0.303265784,0.147901369,-0.146132585,0.178621218,0.137854249,0.132053854,-0.049901126,-0.00079454,-0.014994091,-0.244519163,0.058541927,0.025283863,0.030515306,-0.103872565,0.27074575,0.061618314,0.067451361,0.209899011,0.343139704,-0.375718859,-0.114824711,-0.82,0.119638429,0.161342131,-0.052516809,0.069314879,-0.046975442,0.19663717,-0.091987965,0.038530675,0.381978454,0.290538392,0.077042845,0.132099253,-0.14240637,0.205085562,-0.103730913,-0.087129911,-0.097353855,-0.184036821
2009,-0.043090577,-0.06698871,0.159550862,-0.023720865,-0.492802509,0.161270121,-0.02186291,-0.117630043,0.199,0.159677919,-0.338730128,0.149320966,-0.126389911,0.169889098,0.100077556,0.074578527,-0.014180677,-0.000902926,-0.050149515,-0.290751046,0.035540817,-0.007300725,-0.025576342,-0.121459514,0.23694947,0.090147574,0.067791527,0.156780341,0.387187011,-0.408712741,-0.104795254,-0.83,0.058456142,0.186743878,-0.058629745,-0.005103268,-0.141304907,0.170445931,-0.056784368,0.020228259,0.35087349,0.264248368,0.019998756,0.134391001,-0.160973554,0.200105786,-0.156422186,-0.06518961,-0.143449211,-0.296172761
2010,-0.013658712,-0.063481125,0.164504531,-0.050129051,-0.475202134,0.224805378,-0.059608797,-0.126355159,0.28,0.155559044,-0.323779753,0.141185353,-0.207149855,0.235544889,0.178964407,0.093142582,-0.046341107,0.009860042,-0.031845934,-0.26957206,0.03662026,0.02945264,-0.054848233,-0.088457911,0.256223558,0.073528816,0.024426941,0.190576525,0.357225015,-0.384147123,-0.148205548,-0.867,0.042023961,0.13196599,-0.061782098,0.032857818,-0.163142937,0.163687114,-0.038217599,0.04233074,0.38636384,0.302890668,0.065711701,0.05581107,-0.163725876,0.223773829,-0.175633362,-0.094987623,-0.172350915,-0.140656801
2011,-3.26E-05,-0.012631518,0.198392642,-0.025415242,-0.365550036,0.292807094,-0.073170076,-0.157278758,0.342,0.187571558,-0.409385513,0.177165705,-0.245756513,0.246302605,0.208863653,0.122483098,-0.00292198,0.018247695,0.029947882,-0.226123277,0.044685342,0.111271024,-0.006992753,-0.060457786,0.251039936,0.094158325,0.12146867,0.207407468,0.476515501,-0.292735146,-0.102314535,-0.74,0.084907722,0.186345062,-0.023102733,0.060279726,-0.135336604,0.158627506,-0.155741897,0.066892065,0.405927478,0.280392227,0.109076439,0.085676822,-0.107951974,0.235015868,-0.046978643,-0.074033146,-0.054808335,-0.073540292
2012,-0.129017643,-0.105357175,0.079796446,-0.087454951,-0.483986136,0.218729531,-0.144280699,-0.251794314,0.231,0.061140473,-0.594368916,0.040612455,-0.335789861,0.221723319,0.109669532,0.031770213,-0.153280424,-0.068914174,-0.048039474,-0.303484096,0.073990878,0.053404777,-0.147764118,-0.198705102,0.158245001,-0.038679658,-0.021924615,0.132515788,0.393565234,-0.383675961,-0.214045087,-0.778,0.022275221,0.074116493,-0.122441444,0.044045337,-0.19841101,0.023993009,-0.2008069,-0.07911515,0.283632978,0.15328382,0.015416459,-0.039392512,-0.20596612,0.121908701,-0.077756288,-0.209773768,-0.156312608,-0.075222342
2013,-0.048810262,0.019159443,0.16040502,-0.133594505,-0.46468869,0.286251979,-0.071354933,-0.189412543,0.28,0.078333602,-0.569845723,0.075315863,-0.2055795,0.29898828,0.100956617,0.137455551,-0.168580698,-0.044280418,-0.067867223,-0.350419963,0.068953304,0.075155121,-0.103620989,-0.187737195,0.159528541,0.004646465,-0.045984202,0.170800804,0.397638215,-0.398222317,-0.230272557,-0.819,0.050175028,0.123176456,-0.083895717,0.082619018,-0.198007796,0.048420848,-0.171578413,-0.056499651,0.235822091,0.173705274,0.021728929,0.008259421,-0.208432272,0.146751668,-0.065349211,-0.181550429,-0.058793783,-0.122010088
2014,-0.032371163,0.110499143,0.207280581,-0.072722602,-0.432561395,0.332898062,-0.038286308,-0.188187694,0.348,0.117630732,-0.587423892,0.14599841,-0.108567393,0.324387517,0.060710748,0.201741681,-0.153325687,0.001722901,-0.092537684,-0.313885917,0.057369832,0.07944261,-0.062670395,-0.193666704,0.150241405,0.042198626,-0.065243992,0.222405826,0.345375317,-0.378031777,-0.167492076,-0.797,0.117402495,0.082435936,-0.066371133,0.14454152,-0.175447099,0.097675379,-0.090401801,-0.0034475,0.194104863,0.195767851,0.04751026,0.070909165,-0.193621141,0.172469825,-0.007512735,-0.142529723,0.012818419,-0.070879336
2015,0.044417226,0.186896053,0.235826699,-5.98E-05,-0.407897172,0.340034301,-0.01879472,-0.131302022,0.461,0.185523553,-0.586885356,0.162292971,-0.033366832,0.345675345,0.057833843,0.228143798,-0.064983561,0.065603613,-0.048923063,-0.238859636,0.082992759,0.163862802,-0.057633011,-0.101453862,0.193562789,0.134820855,0.010043475,0.279706298,0.361123067,-0.34697278,-0.074350682,-0.812,0.124163045,0.22756491,0.019735853,0.118439725,-0.122503393,0.108138363,-0.08639659,0.031207878,0.266540235,0.264532356,0.093567513,0.093747668,-0.211023117,0.170725182,-0.018589957,-0.087102802,0.079724288,-0.055491469
2016,0.042713185,0.153058047,0.231257706,0.015430496,-0.404411719,0.334018821,-0.01746976,-0.116043348,0.48,0.183896139,-0.60202503,0.147535957,-0.02234935,0.34154629,0.042851997,0.216050418,-0.011649355,0.016355008,-0.058930487,-0.207997125,0.089588153,0.15845171,-0.035280926,-0.065821031,0.204716899,0.150018239,0.051119319,0.324207859,0.431441121,-0.35596588,-0.067133721,-0.811,0.138439863,0.266158948,0.066703957,0.12714627,-0.132639833,0.116579774,-0.08673193,0.032855956,0.258319273,0.26376276,0.093267715,0.091068189,-0.269445036,0.173304579,-0.025128565,-0.01853444,0.074699667,-0.03799921
2017,0.03574045,0.1109598,0.2168181,0.010205475,-0.4282724,0.3337814,-0.03709143,-0.1321848,0.4852528,0.1523293,-0.5924368,0.1353447,-0.03349074,0.3277777,0.03220727,0.2140517,-0.03757631,-0.02423638,-0.06125402,-0.2557703,0.0748772,0.1418745,-0.03257765,-0.09839733,0.219208,0.12734551,0.04527228,0.3231175,0.4143061,-0.3677013,-0.1176535,-0.8050546,0.12193338,0.5447067,0.04483439,0.1156783,-0.1314711,0.1145905,-0.09289951,0.02210459,0.2430306,0.257076,0.06332352,0.07772187,-0.2042359,0.1794138,-0.04321236,-0.1074144,0.08149428,-0.04181923
2018,0.02998163,0.1109598,0.2135342,0.005951066,-0.440144,0.3335698,-0.04711934,-0.1440052,0.4857457,0.1496799,-0.5907438,0.1352762,-0.05568475,0.3113179,0.02273567,0.2116787,-0.04467009,-0.02485685,-0.06125403,-0.2630111,0.06502434,0.1298169,-0.03084154,-0.09839779,0.2305588,0.02567964,0.04527228,0.3225158,0.405056,-0.3685268,-0.1180051,-0.8048963,0.10795203,0.5449617,0.0259003,0.1095685,-0.1306955,0.113364,-0.09703181,0.02210459,0.2382612,0.2532173,0.06280746,0.07125926,-0.1968122,0.1852886,-0.04321238,-0.1600251,0.08155613,-0.04181923
2019,0.01834698,0.1109598,0.2129446,0.00227418,-0.4444933,0.3333794,-0.05133044,-0.1518313,0.4857878,0.1492659,-0.5904237,0.1352755,-0.07985145,0.2918462,0.01611657,0.2088735,-0.0470607,-0.02374088,-0.06125403,-0.2497988,0.06048494,0.1206821,-0.02971959,-0.09839779,0.2345944,0.04909973,0.04527228,0.3221751,0.399411,-0.3685756,-0.118013,-0.8048913,0.09260405,0.5449617,0.01043617,0.1061216,-0.1301814,0.1126139,-0.09975565,0.02210459,0.2375436,0.251025,0.06277731,0.06790554,-0.1954919,0.1906204,-0.04321238,-0.2152987,0.08155657,-0.04181923